Wall time,Step,Value
1515853937.4383938,1,0.5957278609275818
1515854319.430994,2,0.6742483973503113
1515854587.0032218,2,0.6773141026496887
1515854858.5503128,2,0.6727650165557861
1515855128.013534,80,0.6767207384109497
1515855396.051011,80,0.6737539768218994
1515855666.1041718,153,0.671875
1515855930.2314355,153,0.6775118708610535
1515856199.0867364,228,0.6755340099334717
1515856468.0744138,228,0.6714794039726257
1515856736.947593,307,0.6731606125831604
1515857006.5738678,307,0.676522970199585
1515857274.9067557,307,0.6709849834442139
1515857542.422302,385,0.6703916192054749
1515857807.6930647,385,0.6705893874168396
1515858077.0464902,461,0.676522970199585
1515858345.3738146,461,0.6707871556282043
1515858614.8670108,536,0.6740506291389465
1515858888.3342922,536,0.6722705960273743
1515859156.3785238,614,0.6754351258277893
1515859422.0752797,614,0.6725672483444214
1515859692.7263877,614,0.6773141026496887
1515859964.4924366,692,0.6702927350997925
1515860236.9117095,692,0.6735561490058899
1515860507.6402237,764,0.6697982549667358
1515860775.2675035,764,0.6748417615890503
1515861041.6935017,838,0.6732594966888428
1515861306.3800678,838,0.6728639006614685
1515861576.0774,916,0.6746439933776855
1515861843.6813598,916,0.6735561490058899
1515862111.5142848,916,0.6757317781448364
1515862379.3517973,998,0.6682159900665283
1515862647.0741956,998,0.6714794039726257
1515862918.2338264,1075,0.6757317781448364
1515863187.7885053,1075,0.670688271522522
1515863456.5777376,1149,0.670094907283783
1515863724.8256848,1149,0.675929605960846
1515863994.3021004,1226,0.6716772317886353
1515864262.3720946,1226,0.6733583807945251
1515864526.5582104,1226,0.6704905033111572
1515864793.3509803,1306,0.6749406456947327
1515865059.3558958,1306,0.6701938509941101
1515865328.286318,1382,0.6727650165557861
1515865595.8253474,1382,0.6723694801330566
1515865863.075897,1457,0.6726661324501038
1515866130.882256,1457,0.673061728477478
1515866399.1207526,1537,0.6738528609275818
1515866662.5839345,1537,0.6716772317886353
1515866927.3468826,1537,0.6713805198669434
1515867194.3795815,1616,0.6742483973503113
1515867462.6596048,1616,0.6719738841056824
1515867729.130547,1692,0.6742483973503113
1515867996.6270142,1692,0.6702927350997925
1515868263.4702873,1768,0.6762262582778931
1515868532.2424932,1768,0.6733583807945251
1515868801.400199,1851,0.6726661324501038
1515869066.7529564,1851,0.6720727682113647
1515869334.8518984,1851,0.6741495132446289
1515869602.6982124,1928,0.6728639006614685
1515869868.851882,1928,0.6731606125831604
1515870137.478376,2005,0.6745451092720032
1515870407.3278,2005,0.6745451092720032
1515870676.8594675,2080,0.6739517450332642
1515870944.6461253,2080,0.6722705960273743
1515871212.7841752,2080,0.6747428774833679
1515871482.9930966,2162,0.6743472814559937
1515871749.2434607,2162,0.6721716523170471
1515872017.8043323,2237,0.671875
1515872282.8016515,2237,0.6744462251663208
1515872551.6522105,2313,0.6755340099334717
1515872820.5264373,2313,0.6739517450332642
1515873089.11159,2389,0.673655092716217
1515873357.895767,2389,0.6729628443717957
1515873625.6688766,2389,0.6728639006614685
1515873893.3771813,2473,0.6753362417221069
1515874160.6267586,2473,0.6717761158943176
1515874428.5998096,2549,0.675929605960846
1515874697.3051794,2549,0.6770173907279968
1515874965.363903,2624,0.6735561490058899
1515875233.366587,2624,0.671875
1515875502.393356,2700,0.6695016026496887
1515875766.1366591,2700,0.6711827516555786
1515876034.26802,2700,0.6721716523170471
1515876301.9413607,2783,0.6711827516555786
1515876570.7749124,2783,0.6751384735107422
1515876838.6569016,2859,0.672468364238739
1515877106.6491907,2859,0.6721716523170471
1515877373.5633297,2934,0.6743472814559937
1515877640.9108806,2934,0.6747428774833679
1515877909.2088134,3011,0.6699960231781006
1515878178.4049544,3011,0.6701938509941101
