Wall time,Step,Value
1515919483.3786814,1,623.5709228515625
1515919601.296742,101,280.43310546875
1515919712.3662302,201,126.24185180664062
1515919825.4552782,301,56.920631408691406
1515919951.6996944,401,25.833181381225586
1515920074.1297684,501,11.867695808410645
1515920197.913384,601,5.648927688598633
1515920326.8225884,701,2.9361541271209717
1515920462.2478597,801,1.5978314876556396
1515920584.9095285,901,0.9800242185592651
1515920710.61378,1001,0.8593229055404663
1515920843.156124,1101,0.6958379745483398
1515920970.6345623,1201,0.606879711151123
1515921094.2441318,1301,0.5563830733299255
1515921219.1884286,1401,0.6324926614761353
1515921348.1509407,1501,0.5865852236747742
1515921467.948118,1601,0.6662502288818359
1515921598.0171833,1701,0.6024727821350098
1515921731.5345545,1801,0.702328085899353
1515921861.5212615,1901,0.8220570683479309
1515921978.718213,2001,0.6619836091995239
1515922107.7511163,2101,0.4323989152908325
1515922239.0413766,2201,0.34305694699287415
1515922364.7892659,2301,0.31061258912086487
1515922489.1887774,2401,0.3584958016872406
1515922619.502762,2501,0.38180357217788696
1515922735.934661,2601,0.28476715087890625
1515922848.633288,2701,0.39184069633483887
1515922981.5087812,2801,0.44364213943481445
1515923106.814932,2901,0.37020343542099
1515923218.0086708,3001,0.5369657874107361
1515923343.5718822,3101,0.3346557319164276
1515923462.1282115,3201,0.2629292905330658
1515923577.399908,3301,0.4706251323223114
1515923709.7044728,3401,0.37877190113067627
1515923836.2612336,3501,0.5844355225563049
1515923951.6872425,3601,0.32985877990722656
1515924075.1143422,3701,0.41043585538864136
1515924204.5426064,3801,0.35111117362976074
1515924325.8205032,3901,0.3514192998409271
1515924444.0982366,4001,0.45729491114616394
1515924580.1083336,4101,0.42963817715644836
1515924713.2052023,4201,1.677968978881836
1515924830.4512796,4301,0.39729413390159607
1515924956.3793128,4401,0.335727334022522
1515925085.724314,4501,0.3199913799762726
1515925208.73394,4601,0.32159751653671265
1515925333.8377383,4701,0.333661288022995
1515925468.3381813,4801,0.35334619879722595
1515925605.49909,4901,0.3550030291080475
1515925723.748707,5001,0.41393494606018066
1515925855.9696133,5101,0.6199172735214233
1515925984.160953,5201,0.36033350229263306
1515926112.002239,5301,0.6102838516235352
1515926238.409294,5401,0.40731844305992126
1515926375.279735,5501,0.33179786801338196
1515926515.6717982,5601,0.4137305021286011
1515926657.6013563,5701,0.33105921745300293
1515926788.9235938,5801,0.3382197916507721
1515926904.7174017,5901,0.48622506856918335
1515927032.3815753,6001,0.4930463433265686
1515927169.6434944,6101,0.5182141661643982
1515927311.2926996,6201,0.5365504622459412
1515927435.472335,6301,0.551311731338501
1515927562.3481133,6401,0.418021559715271
1515927692.6851745,6501,0.4066939651966095
1515927822.861866,6601,0.43741264939308167
1515927943.3486428,6701,0.28576594591140747
1515928074.7743344,6801,0.42179304361343384
1515928212.1051428,6901,0.31711748242378235
1515928345.3242207,7001,0.3195153772830963
1515928476.3098278,7101,0.30885380506515503
1515928614.3788867,7201,1.0187169313430786
1515928748.2817204,7301,0.8105556964874268
1515928885.5455773,7401,0.5251178741455078
1515929016.8723388,7501,0.35079288482666016
1515929148.1521552,7601,0.6175343990325928
1515929289.9719632,7701,0.2724771499633789
1515929440.9020276,7801,0.39887481927871704
1515929581.1487715,7901,2.110872745513916
1515929724.6532815,8001,1.2950427532196045
1515929865.3314269,8101,1.0295906066894531
1515930008.0618775,8201,2.1943788528442383
1515930155.3770325,8301,43.916988372802734
1515930308.8078737,8401,40.54447555541992
1515930457.9952247,8501,37.556888580322266
1515930583.1815643,8601,34.66458511352539
1515930709.387065,8701,32.03535461425781
1515930839.9046574,8801,29.62242889404297
1515930966.1359174,8901,27.3985538482666
1515931085.0571434,9001,25.336050033569336
1515931220.7914605,9101,23.448720932006836
1515931356.7690444,9201,21.61536407470703
1515931478.7292671,9301,20.08316421508789
1515931603.992713,9401,18.570466995239258
1515931733.6662946,9501,17.201980590820312
1515931857.048427,9601,15.899873733520508
1515931980.863926,9701,14.799043655395508
1515932118.58312,9801,13.693862915039062
1515932256.3851185,9901,12.669395446777344
1515932386.8325758,10001,11.688006401062012
1515932524.0583878,10101,10.901620864868164
1515932656.242383,10201,10.07382583618164
1515932794.9539442,10301,9.357340812683105
1515932935.7972543,10401,8.702548027038574
1515933066.2850275,10501,8.06002140045166
1515933198.22834,10601,7.498837471008301
1515933339.9228187,10701,6.958907127380371
1515933471.5952468,10801,6.4938812255859375
1515933588.5555112,10901,6.049256324768066
1515933708.5424037,11001,5.633988857269287
1515933831.5093288,11101,5.295347213745117
1515933942.4070072,11201,4.89607048034668
1515934060.0726278,11301,4.591800689697266
1515934181.8383117,11401,4.199172496795654
1515934295.361702,11501,3.9567220211029053
1515934415.7285855,11601,3.676438808441162
