Wall time,Step,Value
1515767002.0953,1,623.7864990234375
1515767275.8172882,101,618.8129272460938
1515767427.2696602,201,613.865966796875
1515767545.3304567,301,608.9049072265625
1515767660.4433746,401,604.1293334960938
1515767772.910626,501,599.2587280273438
1515767884.5142055,601,594.5164794921875
1515767994.8437283,701,589.767822265625
1515768112.5879846,801,584.9889526367188
1515768230.655454,901,580.4400634765625
1515768344.4711883,1001,575.7496948242188
1515768456.9045424,1101,571.245361328125
1515768567.3102489,1201,566.6300048828125
1515768678.5763257,1301,562.146728515625
1515768788.9521742,1401,557.6311645507812
1515768899.7100682,1501,553.1773071289062
1515769011.658195,1601,548.7528686523438
1515769127.4187198,1701,544.4111938476562
1515769243.656399,1801,540.07177734375
1515769363.9477732,1901,535.7340698242188
1515769474.6170914,2001,531.4677124023438
1515769585.6552594,2101,527.3359375
1515769699.3886266,2201,523.0498046875
1515769810.289849,2301,518.893310546875
1515769921.2699213,2401,514.8456420898438
1515770032.2546911,2501,510.6919250488281
1515770146.753401,2601,506.658203125
1515770265.2242384,2701,502.6189270019531
1515770385.2803817,2801,498.5564880371094
1515770498.267917,2901,494.677490234375
1515770610.3397243,3001,490.6947937011719
1515770722.956067,3101,486.790283203125
1515770834.21572,3201,482.930419921875
1515770947.1283922,3301,479.0552978515625
1515771057.993219,3401,475.22509765625
1515771173.9521272,3501,471.478515625
1515771293.9839363,3601,467.7361755371094
1515771409.286708,3701,464.0288391113281
1515771520.1216762,3801,460.1916809082031
1515771631.1834652,3901,456.5820617675781
1515771741.393754,4001,452.9873046875
1515771851.8163235,4101,449.3653259277344
1515771962.4251342,4201,445.7478942871094
1515772073.3497367,4301,442.18109130859375
1515772185.4444735,4401,438.7048034667969
1515772303.2676296,4501,435.24932861328125
1515772421.443664,4601,431.7808532714844
1515772538.2599869,4701,428.39300537109375
1515772651.7910345,4801,424.912841796875
1515772762.2058928,4901,421.5536804199219
1515772872.5577738,5001,418.1205749511719
1515772980.6032848,5101,414.8505554199219
1515773088.6321287,5201,411.5983581542969
1515773197.402171,5301,408.2734069824219
1515773306.595795,5401,405.02655029296875
1515773421.187429,5501,401.7919921875
1515773534.72556,5601,398.61480712890625
1515773649.855062,5701,395.41436767578125
1515773758.227326,5801,392.2392883300781
1515773867.100305,5901,389.14520263671875
1515773976.851764,6001,386.07293701171875
1515774086.2028418,6101,383.0091857910156
1515774196.1450398,6201,379.9913330078125
1515774304.8935995,6301,376.952880859375
1515774413.494092,6401,373.89459228515625
1515774522.2193658,6501,370.95111083984375
1515774636.9818516,6601,367.99578857421875
1515774751.188533,6701,365.0418395996094
1515774866.2006147,6801,362.1586608886719
1515774973.7607405,6901,359.2091979980469
1515775082.0418282,7001,356.41485595703125
1515775190.1703365,7101,353.5411071777344
1515775298.9762287,7201,350.7392883300781
1515775406.918497,7301,348.025146484375
1515775514.4109187,7401,345.15081787109375
1515775623.1598346,7501,342.4905700683594
1515775730.6963575,7601,339.70245361328125
1515775838.1467175,7701,336.98626708984375
1515775948.4969628,7801,334.35626220703125
1515776063.15581,7901,331.6924133300781
1515776176.4759355,8001,329.06243896484375
1515776289.5341058,8101,326.4076232910156
1515776398.9498975,8201,323.8404846191406
1515776510.5282557,8301,321.309326171875
1515776625.7115462,8401,318.71649169921875
1515776737.7140965,8501,316.108642578125
1515776849.0998473,8601,313.67962646484375
1515776959.296632,8701,311.1470947265625
1515777070.0998356,8801,308.71673583984375
1515777185.57632,8901,306.1639404296875
1515777302.9256566,9001,303.7283630371094
1515777417.5578318,9101,301.36370849609375
1515777527.4555972,9201,298.89739990234375
1515777637.2749217,9301,296.5335693359375
1515777747.0902178,9401,294.1383056640625
1515777856.952791,9501,291.90533447265625
1515777966.0232165,9601,289.57611083984375
1515778075.8609734,9701,287.15826416015625
1515778185.6441667,9801,284.929931640625
1515778299.7010243,9901,282.6435241699219
