Wall time,Step,Value
1515974368.422763,1,623.5623168945312
1515974501.5782888,101,575.6052856445312
1515974633.1646118,201,531.3526000976562
1515974757.271995,301,490.5260925292969
1515974881.2587771,401,452.8688659667969
1515975012.2604108,501,418.0604553222656
1515975144.9216151,601,385.9266662597656
1515975275.1805167,701,356.41180419921875
1515975397.7861893,801,328.9681701660156
1515975523.2311578,901,303.7113342285156
1515975656.9971511,1001,280.4082336425781
1515975789.0672305,1101,258.89764404296875
1515975916.829816,1201,239.02523803710938
1515976039.7099123,1301,220.6515350341797
1515976167.9641953,1401,203.69180297851562
1515976300.691644,1501,188.10693359375
1515976434.4240215,1601,173.71095275878906
1515976560.2068224,1701,160.39358520507812
1515976682.8015325,1801,148.06910705566406
1515976813.0072193,1901,136.74049377441406
1515976945.1837664,2001,126.26465606689453
1515977075.860371,2101,116.5271987915039
1515977199.4277697,2201,107.6607437133789
1515977323.9202275,2301,99.3348388671875
1515977455.5983708,2401,91.69656372070312
1515977587.3092675,2501,84.7484359741211
1515977714.780186,2601,78.24578857421875
1515977842.0957756,2701,72.2210464477539
1515977972.9868782,2801,66.66610717773438
1515978106.3134196,2901,61.58457565307617
1515978241.3075948,3001,56.857269287109375
1515978369.0078688,3101,52.47017288208008
1515978494.6725361,3201,48.465858459472656
1515978625.5215783,3301,44.828861236572266
1515978760.3613746,3401,41.370113372802734
1515978895.6041186,3501,38.502525329589844
1515979024.8473344,3601,35.28083038330078
1515979150.027658,3701,32.69783020019531
1515979281.1117492,3801,30.116743087768555
1515979416.442323,3901,27.823665618896484
1515979552.0029602,4001,25.69212532043457
1515979681.5145519,4101,23.750730514526367
1515979809.2308083,4201,21.938613891601562
1515979940.7575974,4301,20.27230453491211
1515980075.3974452,4401,18.66609001159668
1515980211.586064,4501,17.327600479125977
1515980341.4637806,4601,16.023540496826172
1515980469.1988873,4701,14.782970428466797
1515980599.3837729,4801,13.706231117248535
1515980734.2303536,4901,12.664443016052246
1515980870.3741841,5001,11.713306427001953
1515981002.8636034,5101,10.8142728805542
1515981130.0492682,5201,10.031105995178223
1515981258.3321385,5301,9.226386070251465
1515981392.8916907,5401,8.54827880859375
1515981528.475581,5501,7.900700092315674
1515981662.5859404,5601,7.421078205108643
1515981790.1076033,5701,6.7925825119018555
1515981916.6788394,5801,6.245626449584961
1515982049.7366166,5901,5.90081787109375
1515982182.1675246,6001,5.385795593261719
1515982309.3352957,6101,5.034347057342529
1515982431.9390986,6201,4.714088439941406
1515982561.3741755,6301,4.33920955657959
1515982694.1069412,6401,3.981309652328491
1515982828.0978715,6501,3.712764263153076
1515982953.3363059,6601,3.5535361766815186
1515983077.875615,6701,3.1916909217834473
1515983210.3829317,6801,2.9927144050598145
1515983342.2703128,6901,2.8232083320617676
1515983469.5846164,7001,2.6855275630950928
1515983592.0477853,7101,2.3817660808563232
1515983723.1107798,7201,2.2405736446380615
1515983858.4493322,7301,2.094433069229126
1515983995.3191996,7401,1.8860845565795898
1515984125.2966585,7501,1.8316383361816406
1515984253.97626,7601,1.737870216369629
1515984386.9781535,7701,1.601332426071167
1515984525.166059,7801,1.494028091430664
1515984663.289177,7901,1.4227864742279053
1515984796.2629805,8001,1.2848607301712036
1515984925.1389487,8101,1.2032259702682495
1515985055.745019,8201,1.1564688682556152
1515985193.9608128,8301,1.1335556507110596
1515985331.419301,8401,1.2776379585266113
1515985466.8465774,8501,1.0968670845031738
1515985596.0357609,8601,1.1136316061019897
1515985726.3079982,8701,1.0937185287475586
1515985862.28169,8801,1.1419034004211426
1515985999.2829285,8901,1.0747053623199463
1515986135.7677548,9001,1.0685529708862305
1515986266.374866,9101,1.0308570861816406
1515986395.815833,9201,1.049742341041565
1515986529.8116815,9301,1.0360279083251953
1515986667.8152459,9401,1.0362673997879028
1515986805.0555453,9501,1.0894447565078735
1515986939.303131,9601,1.054936408996582
1515987069.8655436,9701,1.0198352336883545
1515987201.1334493,9801,0.9974002242088318
1515987337.820676,9901,1.0203303098678589
1515987475.2925453,10001,0.9867560863494873
1515987609.653758,10101,0.9655699729919434
1515987734.923356,10201,1.040210247039795
1515987863.7267008,10301,0.9463202953338623
1515987999.3797343,10401,0.9326314926147461
1515988136.3645415,10501,0.9910598397254944
1515988269.7014437,10601,0.9709579944610596
1515988398.112619,10701,0.9516539573669434
1515988529.5629714,10801,0.9889122247695923
1515988667.0654101,10901,0.9611636996269226
1515988804.1102803,11001,0.9583183526992798
1515988935.0002284,11101,0.9367169141769409
1515989058.9900954,11201,0.9297510385513306
1515989189.6881373,11301,0.8919203281402588
1515989324.0840771,11401,0.8688889741897583
1515989457.7319734,11501,0.8880225419998169
1515989584.451975,11601,0.8877459764480591
1515989712.1519797,11701,0.8807088136672974
1515989848.7238667,11801,0.9690777659416199
1515989986.0821764,11901,0.8737215995788574
1515990117.0945315,12001,0.8639688491821289
1515990246.8680344,12101,0.8411563634872437
1515990379.5589132,12201,0.8763843178749084
1515990517.985118,12301,0.8473347425460815
1515990654.76689,12401,0.8379285335540771
1515990785.8909307,12501,0.8239256739616394
1515990915.2089484,12601,0.8162510395050049
1515991050.2674274,12701,0.8472957611083984
1515991188.998304,12801,0.9005930423736572
1515991327.0300484,12901,0.7950776815414429
1515991460.6153426,13001,0.81611168384552
1515991589.9253058,13101,0.8179155588150024
1515991722.223566,13201,0.8233757019042969
1515991861.3399994,13301,0.7989544868469238
1515992000.8353932,13401,0.7771772742271423
1515992137.8301854,13501,0.8204691410064697
1515992269.0713212,13601,0.823111891746521
1515992400.3896244,13701,0.735260009765625
1515992540.1582022,13801,0.7934281826019287
1515992679.1319826,13901,0.857424259185791
1515992818.7157474,14001,0.7357215285301208
1515992948.1650095,14101,0.7366074323654175
1515993078.7984576,14201,0.7652439475059509
1515993217.5766745,14301,0.7260537147521973
1515993355.218665,14401,0.7897502779960632
1515993489.173951,14501,0.8270514011383057
1515993618.7969868,14601,0.7218316793441772
1515993750.1787438,14701,0.7431389093399048
1515993890.2096167,14801,0.7226533889770508
1515994029.1721206,14901,0.7231570482254028
1515994165.100643,15001,0.7022851705551147
1515994295.2855892,15101,0.696651816368103
1515994424.6222167,15201,0.6894068121910095
1515994560.3872766,15301,0.7347542643547058
1515994694.3182056,15401,0.6642242074012756
1515994817.9601324,15501,0.7499872446060181
1515994947.428081,15601,0.6748650670051575
1515995082.426707,15701,0.6554655432701111
1515995218.9515777,15801,0.7205064296722412
1515995348.3757803,15901,0.6756107807159424
1515995477.0047557,16001,0.7121342420578003
1515995611.9667916,16101,0.6958333253860474
1515995748.2005565,16201,0.6859769821166992
1515995880.6548135,16301,0.6533399224281311
1515996006.5383053,16401,0.6904168128967285
1515996138.4246094,16501,0.6850043535232544
1515996274.9326916,16601,0.6290962100028992
1515996409.9363399,16701,0.6086559891700745
1515996549.7094893,16801,0.644521176815033
1515996690.2742808,16901,0.6803680658340454
1515996830.646704,17001,0.6699245572090149
1515996975.7437925,17101,0.6383746862411499
1515997121.3516736,17201,0.6646697521209717
1515997266.5223649,17301,0.6663737893104553
1515997410.399739,17401,0.6480640172958374
1515997548.593538,17501,0.662903368473053
1515997686.8120563,17601,0.6309013366699219
1515997826.6390512,17701,0.6554812788963318
1515997971.682224,17801,0.6602356433868408
1515998116.9438345,17901,0.6396133899688721
1515998262.1707609,18001,0.7022713422775269
1515998403.1417892,18101,0.6767430305480957
1515998537.227951,18201,0.6862281560897827
1515998671.6649823,18301,0.6631072759628296
1515998811.7998617,18401,0.6460214853286743
1515998954.6242106,18501,0.6353439092636108
1515999097.69481,18601,0.6203743815422058
1515999240.2557023,18701,0.6407133340835571
