Wall time,Step,Value
1515853675.6257775,1,8.513675689697266
1515854086.1474946,2,73753552.0
1515854883.8335154,102,607.1298828125
1515855688.1085098,202,527.008544921875
1515856478.9615383,302,505.1786804199219
1515857271.386326,402,488.34033203125
1515858049.5555267,502,474.1458740234375
1515858844.602363,602,461.9440612792969
1515859631.5512428,702,451.08721923828125
1515860439.803602,802,441.0744323730469
1515861220.8463964,902,431.8997497558594
1515861978.7250636,1002,423.4220886230469
1515862747.033527,1102,415.4223327636719
1515863542.8663757,1202,407.8476257324219
1515864319.8078532,1302,400.7644348144531
1515865104.707851,1402,394.0789489746094
1515865897.7761664,1502,387.541259765625
1515866683.5514972,1602,381.4403076171875
1515867469.4463882,1702,375.5021057128906
1515868251.2267287,1802,369.8355712890625
1515869019.1294403,1902,364.3584289550781
1515869778.9454584,2002,359.1403503417969
1515870562.24187,2102,353.9691467285156
1515871342.450739,2202,349.1180725097656
1515872113.598455,2302,344.303955078125
1515872882.8143716,2402,339.67449951171875
1515873664.16179,2502,335.007568359375
1515874455.9164624,2602,330.54266357421875
1515875248.121257,2702,326.1931457519531
1515876031.1724384,2802,321.8798522949219
1515876808.6628067,2902,317.6229553222656
1515877581.6849117,3002,313.4839172363281
1515878355.501509,3102,309.3108215332031
