Wall time,Step,Value
1515941550.6879609,1,11.03901481628418
1515941784.6404688,101,10.15369987487793
1515942018.3556714,201,9.38033390045166
1515942227.779925,301,8.70962905883789
1515942437.9668021,401,8.05949592590332
1515942670.6579595,501,7.443129062652588
1515942886.5028431,601,6.913702964782715
1515943076.6392207,701,6.378533363342285
1515943294.093945,801,5.844890594482422
1515943507.0827267,901,5.543824672698975
1515943702.2913625,1001,5.1511125564575195
1515943916.728192,1101,4.7391037940979
1515944127.0047767,1201,4.416753768920898
1515944319.3947163,1301,4.186546325683594
1515944539.4237142,1401,3.7457613945007324
1515944744.0248392,1501,3.5294013023376465
1515944945.671223,1601,3.326443672180176
1515945165.9481385,1701,3.0312747955322266
1515945372.9566302,1801,2.7516324520111084
1515945570.22888,1901,2.6212680339813232
1515945794.4479272,2001,2.368288040161133
1515946006.149111,2101,2.2908687591552734
1515946211.9826689,2201,2.197855234146118
1515946435.181047,2301,1.9469013214111328
1515946651.1357634,2401,1.7276456356048584
1515946840.3756647,2501,1.6153239011764526
1515947059.8836198,2601,1.5218228101730347
1515947277.2917972,2701,2.3810062408447266
1515947469.2190795,2801,2.2754311561584473
1515947689.842032,2901,1.743300437927246
1515947909.2138531,3001,1.560631513595581
1515948095.4110801,3101,1.4731743335723877
1515948319.178596,3201,1.3050127029418945
1515948541.1279526,3301,1.914481282234192
1515948736.7559834,3401,1.288321852684021
1515948974.4475474,3501,1.116410732269287
1515949198.2936733,3601,1.6307085752487183
1515949411.982427,3701,0.96388840675354
1515949613.7574408,3801,0.8788559436798096
1515949830.8659756,3901,0.8762940764427185
1515950020.862168,4001,0.8715639710426331
1515950232.0792308,4101,0.7979106903076172
1515950440.6412787,4201,0.7629123330116272
1515950627.772665,4301,0.6645797491073608
1515950841.1372466,4401,0.6189658045768738
1515951038.9845269,4501,0.6615941524505615
1515951251.5849798,4601,0.6137415766716003
1515951483.7167022,4701,0.5416420102119446
1515951700.5118577,4801,1.1252262592315674
1515951893.8511548,4901,0.507224977016449
1515952115.5075421,5001,0.49297457933425903
